amount,text
"$147,539,000,000.","(B) Outlays, $147,539,000,000."
"$138,846,000,000.","(A) New budget authority, $138,846,000,000."
"$150,163,000,000.","(B) Outlays, $150,163,000,000."
"$140,544,000,000.","(A) New budget authority, $140,544,000,000."
"$149,247,000,000.","(B) Outlays, $149,247,000,000."
"$142,271,000,000.","(A) New budget authority, $142,271,000,000."
"$149,454,000,000.","(B) Outlays, $149,454,000,000."
"$90,242,000,000.","(A) New budget authority, $90,242,000,000."
"$78,592,000,000.","(B) Outlays, $78,592,000,000."
"$20,135,000,000.","(A) New budget authority, $20,135,000,000."
"$64,267,000,000.","(B) Outlays, $64,267,000,000."
"$19,259,000,000.","(A) New budget authority, $19,259,000,000."
"$56,506,000,000.","(B) Outlays, $56,506,000,000."
"$19,462,000,000.","(A) New budget authority, $19,462,000,000."
"$45,101,000,000.","(B) Outlays, $45,101,000,000."
"$19,888,000,000.","(A) New budget authority, $19,888,000,000."
"$35,976,000,000.","(B) Outlays, $35,976,000,000."
"$20,326,000,000.","(A) New budget authority, $20,326,000,000."
"$31,026,000,000.","(B) Outlays, $31,026,000,000."
"$20,727,000,000.","(A) New budget authority, $20,727,000,000."
"$27,543,000,000.","(B) Outlays, $27,543,000,000."
"$21,007,000,000.","(A) New budget authority, $21,007,000,000."
"$24,658,000,000.","(B) Outlays, $24,658,000,000."
"$21,462,000,000.","(A) New budget authority, $21,462,000,000."
"$22,754,000,000.","(B) Outlays, $22,754,000,000."
"$21,864,000,000.","(A) New budget authority, $21,864,000,000."
"$21,733,000,000.","(B) Outlays, $21,733,000,000."
"$149,379,000,000.","(A) New budget authority, $149,379,000,000."
"$171,920,000,000.","(B) Outlays, $171,920,000,000."
"$152,714,000,000.","(A) New budget authority, $152,714,000,000."
"$151,639,000,000.","(B) Outlays, $151,639,000,000."
"$155,152,000,000.","(A) New budget authority, $155,152,000,000."
"$151,206,000,000.","(B) Outlays, $151,206,000,000."
"$157,970,000,000.","(A) New budget authority, $157,970,000,000."
"$152,914,000,000.","(B) Outlays, $152,914,000,000."
"$160,942,000,000.","(A) New budget authority, $160,942,000,000."
"$155,518,000,000.","(B) Outlays, $155,518,000,000."
"$163,842,000,000.","(A) New budget authority, $163,842,000,000."
"$158,366,000,000.","(B) Outlays, $158,366,000,000."
"$166,812,000,000.","(A) New budget authority, $166,812,000,000."
"$161,277,000,000.","(B) Outlays, $161,277,000,000."
"$170,169,000,000.","(A) New budget authority, $170,169,000,000."
"$164,438,000,000.","(B) Outlays, $164,438,000,000."
"$173,711,000,000.","(A) New budget authority, $173,711,000,000."
"$167,726,000,000.","(B) Outlays, $167,726,000,000."
"$176,750,000,000.","(A) New budget authority, $176,750,000,000."
"$170,798,000,000.","(B) Outlays, $170,798,000,000."
"$948,957,000,000.","(A) New budget authority, $948,957,000,000."
"$963,482,000,000.","(B) Outlays, $963,482,000,000."
"$992,092,000,000.","(A) New budget authority, $992,092,000,000."
"$977,707,000,000.","(B) Outlays, $977,707,000,000."
"$1,020,326,000,000.","(A) New budget authority, $1,020,326,000,000."
"$1,021,663,000,000.","(B) Outlays, $1,021,663,000,000."
"$1,054,949,000,000.","(A) New budget authority, $1,054,949,000,000."
"$1,051,917,000,000.","(B) Outlays, $1,051,917,000,000."
"$1,098,389,000,000.","(A) New budget authority, $1,098,389,000,000."
"$1,093,560,000,000.","(B) Outlays, $1,093,560,000,000."
"$1,142,669,000,000.","(A) New budget authority, $1,142,669,000,000."
"$1,132,096,000,000.","(B) Outlays, $1,132,096,000,000."
"$1,176,497,000,000.","(A) New budget authority, $1,176,497,000,000."
"$1,175,451,000,000.","(B) Outlays, $1,175,451,000,000."
"$1,226,824,000,000.","(A) New budget authority, $1,226,824,000,000."
"$1,216,998,000,000.","(B) Outlays, $1,216,998,000,000."
"$1,276,881,000,000.","(A) New budget authority, $1,276,881,000,000."
"$1,266,068,000,000.","(B) Outlays, $1,266,068,000,000."
"$1,310,000,000,000.","(A) New budget authority, $1,310,000,000,000."
"$1,298,975,000,000.","(B) Outlays, $1,298,975,000,000."
"$952,239,000,000.","(A) New budget authority, $952,239,000,000."
"$951,989,000,000.","(B) Outlays, $951,989,000,000."
"$1,007,093,000,000.","(A) New budget authority, $1,007,093,000,000."
"$1,008,459,000,000.","(B) Outlays, $1,008,459,000,000."
"$1,066,571,000,000.","(A) New budget authority, $1,066,571,000,000."
"$1,066,331,000,000.","(B) Outlays, $1,066,331,000,000."
"$1,209,735,000,000.","(A) New budget authority, $1,209,735,000,000."
"$1,208,675,000,000.","(B) Outlays, $1,208,675,000,000."
"$1,125,645,000,000.","(A) New budget authority, $1,125,645,000,000."
"$1,125,301,000,000.","(B) Outlays, $1,125,301,000,000."
"$1,275,864,000,000.","(A) New budget authority, $1,275,864,000,000."
"$1,275,627,000,000.","(B) Outlays, $1,275,627,000,000."
"$1,357,791,000,000.","(A) New budget authority, $1,357,791,000,000."
"$1,357,726,000,000.","(B) Outlays, $1,357,726,000,000."
"$1,445,195,000,000.","(A) New budget authority, $1,445,195,000,000."
"$1,445,191,000,000.","(B) Outlays, $1,445,191,000,000."
"$1,659,329,000,000.","(A) New budget authority, $1,659,329,000,000."
"$1,659,346,000,000.","(B) Outlays, $1,659,346,000,000."
"$1,666,492,000,000.","(A) New budget authority, $1,666,492,000,000."
"$1,666,497,000,000.","(B) Outlays, $1,666,497,000,000."
"$712,538,000,000.","(A) New budget authority, $712,538,000,000."
"$709,200,000,000.","(B) Outlays, $709,200,000,000."
"$691,755,000,000.","(A) New budget authority, $691,755,000,000."
"$690,914,000,000.","(B) Outlays, $690,914,000,000."
"$708,645,000,000.","(A) New budget authority, $708,645,000,000."
"$703,648,000,000.","(B) Outlays, $703,648,000,000."
"$727,434,000,000.","(A) New budget authority, $727,434,000,000."
"$727,234,000,000.","(B) Outlays, $727,234,000,000."
"$728,925,000,000.","(A) New budget authority, $728,925,000,000."
"$714,850,000,000.","(B) Outlays, $714,850,000,000."
"$748,162,000,000.","(A) New budget authority, $748,162,000,000."
"$739,465,000,000.","(B) Outlays, $739,465,000,000."
"$760,737,000,000.","(A) New budget authority, $760,737,000,000."
"$751,498,000,000.","(B) Outlays, $751,498,000,000."
"$778,878,000,000.","(A) New budget authority, $778,878,000,000."
"$768,898,000,000.","(B) Outlays, $768,898,000,000."
"$800,142,000,000.","(A) New budget authority, $800,142,000,000."
"$796,835,000,000.","(B) Outlays, $796,835,000,000."
"$808,455,000,000.","(A) New budget authority, $808,455,000,000."
"$798,159,000,000.","(B) Outlays, $798,159,000,000."
"$67,259,000,000.","(A) New budget authority, $67,259,000,000."
"$67,259,000,000.","(B) Outlays, $67,259,000,000."
"$81,690,000,000.","(A) New budget authority, $81,690,000,000."
"$81,690,000,000.","(B) Outlays, $81,690,000,000."
"$89,447,000,000.","(A) New budget authority, $89,447,000,000."
"$89,447,000,000.","(B) Outlays, $89,447,000,000."
"$94,419,000,000.","(A) New budget authority, $94,419,000,000."
"$94,419,000,000.","(B) Outlays, $94,419,000,000."
"$100,138,000,000.","(A) New budget authority, $100,138,000,000."
"$100,138,000,000.","(B) Outlays, $100,138,000,000."
"$106,208,000,000.","(A) New budget authority, $106,208,000,000."
"$106,208,000,000.","(B) Outlays, $106,208,000,000."
"$112,114,000,000.","(A) New budget authority, $112,114,000,000."
"$112,114,000,000.","(B) Outlays, $112,114,000,000."
"$118,485,000,000.","(A) New budget authority, $118,485,000,000."
"$118,485,000,000.","(B) Outlays, $118,485,000,000."
"$125,325,000,000.","(A) New budget authority, $125,325,000,000."
"$125,325,000,000.","(B) Outlays, $125,325,000,000."
"$132,539,000,000.","(A) New budget authority, $132,539,000,000."
"$132,539,000,000.","(B) Outlays, $132,539,000,000."
"$361,349,000,000.","(A) New budget authority, $361,349,000,000."
"$357,760,000,000.","(B) Outlays, $357,760,000,000."
"$382,555,000,000.","(A) New budget authority, $382,555,000,000."
"$378,814,000,000.","(B) Outlays, $378,814,000,000."
"$404,594,000,000.","(A) New budget authority, $404,594,000,000."
"$401,319,000,000.","(B) Outlays, $401,319,000,000."
"$427,329,000,000.","(A) New budget authority, $427,329,000,000."
"$444,241,000,000.","(B) Outlays, $444,241,000,000."
"$447,757,000,000.","(A) New budget authority, $447,757,000,000."
"$422,317,000,000.","(B) Outlays, $422,317,000,000."
"$466,616,000,000.","(A) New budget authority, $466,616,000,000."
"$461,720,000,000.","(B) Outlays, $461,720,000,000."
"$486,716,000,000.","(A) New budget authority, $486,716,000,000."
"$481,638,000,000.","(B) Outlays, $481,638,000,000."
"$507,187,000,000.","(A) New budget authority, $507,187,000,000."
"$502,655,000,000.","(B) Outlays, $502,655,000,000."
"$528,733,000,000.","(A) New budget authority, $528,733,000,000."
"$548,734,000,000.","(B) Outlays, $548,734,000,000."
"$550,662,000,000.","(A) New budget authority, $550,662,000,000."
"$547,796,000,000.","(B) Outlays, $547,796,000,000."
"$83,111,000,000.","(A) New budget authority, $83,111,000,000."
"$85,235,000,000.","(B) Outlays, $85,235,000,000."
"$88,992,000,000.","(A) New budget authority, $88,992,000,000."
"$87,024,000,000.","(B) Outlays, $87,024,000,000."
"$87,701,000,000.","(A) New budget authority, $87,701,000,000."
"$86,420,000,000.","(B) Outlays, $86,420,000,000."
"$89,687,000,000.","(A) New budget authority, $89,687,000,000."
"$88,514,000,000.","(B) Outlays, $88,514,000,000."
"$92,142,000,000.","(A) New budget authority, $92,142,000,000."
"$90,690,000,000.","(B) Outlays, $90,690,000,000."
"$94,574,000,000.","(A) New budget authority, $94,574,000,000."
"$92,986,000,000.","(B) Outlays, $92,986,000,000."
"$96,848,000,000.","(A) New budget authority, $96,848,000,000."
"$94,869,000,000.","(B) Outlays, $94,869,000,000."
"$104,463,000,000.","(A) New budget authority, $104,463,000,000."
"$101,844,000,000.","(B) Outlays, $101,844,000,000."
"$107,160,000,000.","(A) New budget authority, $107,160,000,000."
"$104,339,000,000.","(B) Outlays, $104,339,000,000."
"$109,431,000,000.","(A) New budget authority, $109,431,000,000."
"$106,934,000,000.","(B) Outlays, $106,934,000,000."
"$10,089,000,000.","(A) New budget authority, $10,089,000,000."
"$37,960,000,000.","(B) Outlays, $37,960,000,000."
"$30,666,000,000.","(A) New budget authority, $30,666,000,000."
"$38,285,000,000.","(B) Outlays, $38,285,000,000."
"$32,065,000,000.","(A) New budget authority, $32,065,000,000."
"$38,261,000,000.","(B) Outlays, $38,261,000,000."
"$32,994,000,000.","(A) New budget authority, $32,994,000,000."
"$37,957,000,000.","(B) Outlays, $37,957,000,000."
"$33,770,000,000.","(A) New budget authority, $33,770,000,000."
"$37,793,000,000.","(B) Outlays, $37,793,000,000."
"$34,614,000,000.","(A) New budget authority, $34,614,000,000."
"$37,985,000,000.","(B) Outlays, $37,985,000,000."
"$35,247,000,000.","(A) New budget authority, $35,247,000,000."
"$37,024,000,000.","(B) Outlays, $37,024,000,000."
"$36,189,000,000.","(A) New budget authority, $36,189,000,000."
"$36,307,000,000.","(B) Outlays, $36,307,000,000."
"$36,960,000,000.","(A) New budget authority, $36,960,000,000."
"$36,758,000,000.","(B) Outlays, $36,758,000,000."
"$37,681,000,000.","(A) New budget authority, $37,681,000,000."
"$37,266,000,000.","(B) Outlays, $37,266,000,000."
"$1,011,643,000,000.","(A) New budget authority, $1,011,643,000,000."
"$1,011,643,000,000.","(B) Outlays, $1,011,643,000,000."
"$1,031,561,000,000.","(A) New budget authority, $1,031,561,000,000."
"$1,031,561,000,000.","(B) Outlays, $1,031,561,000,000."
"$1,078,839,000,000.","(A) New budget authority, $1,078,839,000,000."
"$1,078,839,000,000.","(B) Outlays, $1,078,839,000,000."
"$1,150,343,000,000.","(A) New budget authority, $1,150,343,000,000."
"$1,150,343,000,000.","(B) Outlays, $1,150,343,000,000."
"$1,213,150,000,000.","(A) New budget authority, $1,213,150,000,000."
"$1,213,150,000,000.","(B) Outlays, $1,213,150,000,000."
"$1,269,439,000,000.","(A) New budget authority, $1,269,439,000,000."
"$1,269,439,000,000.","(B) Outlays, $1,269,439,000,000."
"$1,332,808,000,000.","(A) New budget authority, $1,332,808,000,000."
"$1,332,808,000,000.","(B) Outlays, $1,332,808,000,000."
"$1,398,649,000,000.","(A) New budget authority, $1,398,649,000,000."
"$1,398,649,000,000.","(B) Outlays, $1,398,649,000,000."
"$1,457,676,000,000.","(A) New budget authority, $1,457,676,000,000."
"$1,457,676,000,000.","(B) Outlays, $1,457,676,000,000."
"$1,525,604,000,000.","(A) New budget authority, $1,525,604,000,000."
"$1,525,604,000,000.","(B) Outlays, $1,525,604,000,000."
"$1,009,217,000,000.","(A) New budget authority, -$1,009,217,000,000."
"$987,791,000,000.","(B) Outlays, -$987,791,000,000."
"$888,800,000,000.","(A) New budget authority, -$888,800,000,000."
"$900,514,000,000.","(B) Outlays, -$900,514,000,000."
"$890,385,000,000.","(A) New budget authority, -$890,385,000,000."
"$894,905,000,000.","(B) Outlays, -$894,905,000,000."
"$848,052,000,000.","(A) New budget authority, -$848,052,000,000."
"$850,422,000,000.","(B) Outlays, -$850,422,000,000."
"$851,534,000,000.","(A) New budget authority, -$851,534,000,000."
"$852,928,000,000.","(B) Outlays, -$852,928,000,000."
"$874,353,000,000.","(A) New budget authority, -$874,353,000,000."
"$874,414,000,000.","(B) Outlays, -$874,414,000,000."
"$874,523,000,000.","(A) New budget authority, -$874,523,000,000."
"$874,523,000,000.","(B) Outlays, -$874,523,000,000."
"$894,135,000,000.","(A) New budget authority, -$894,135,000,000."
"$894,135,000,000.","(B) Outlays, -$894,135,000,000."
"$940,797,000,000.","(A) New budget authority, -$940,797,000,000."
"$940,797,000,000.","(B) Outlays, -$940,797,000,000."
"$913,790,000,000.","(A) New budget authority, -$913,790,000,000."
"$913,790,000,000.","(B) Outlays, -$913,790,000,000."
"$127,603,000,000.","(A) New budget authority, -$127,603,000,000."
